model,class,resource,demand_ms,demand_seconds,lambda
M7a_gp3_Classical_CQRS,Query,AppService,0.3300000000,0.000330000000,3030.3030303030
M7a_gp3_Classical_CQRS,Query,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7a_gp3_Classical_CQRS,Query,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7a_gp3_Classical_CQRS,Query,ProjectionDB,0.5500000000,0.000550000000,1818.1818181818
M7a_gp3_Classical_CQRS,CreateCommand,AppService,0.3300000000,0.000330000000,3030.3030303030
M7a_gp3_Classical_CQRS,CreateCommand,SnapshotDB,0.1433333333,0.000143333333,6976.7441860465
M7a_gp3_Classical_CQRS,CreateCommand,EventStore,1.4266666667,0.001426666667,700.9345794393
M7a_gp3_Classical_CQRS,CreateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7a_gp3_Classical_CQRS,UpdateCommand,AppService,0.5781818182,0.000578181818,1729.5597484277
M7a_gp3_Classical_CQRS,UpdateCommand,SnapshotDB,0.6518181818,0.000651818182,1534.1701534170
M7a_gp3_Classical_CQRS,UpdateCommand,EventStore,1.4300000000,0.001430000000,699.3006993007
M7a_gp3_Classical_CQRS,UpdateCommand,ProjectionDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7a_gp3_Classical_CQRS,ReachConsistency,AppService,1.6600000000,0.001660000000,602.4096385542
M7a_gp3_Classical_CQRS,ReachConsistency,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7a_gp3_Classical_CQRS,ReachConsistency,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
M7a_gp3_Classical_CQRS,ReachConsistency,ProjectionDB,0.5414285714,0.000541428571,1846.9656992084
M7a_gp3_mCQRS,Query,AppService,0.3500000000,0.000350000000,2857.1428571429
M7a_gp3_mCQRS,Query,SnapshotDB,0.0000000000,0.000000000000,1000000000000.0000000000
M7a_gp3_mCQRS,Query,EventStore,0.0000000000,0.000000000000,1000000000000.0000000000
