model,rc,База даних знімків_Throughput,База даних знімків_Utilization,База даних проєкцій_Throughput,База даних проєкцій_Utilization,Сервер_Throughput,Сервер_Utilization,Стоп_Запити_Response Time per Sink,Стоп_Запити_Throughput per Sink,Стоп_Команди оновлення_Response Time per Sink,Стоп_Команди оновлення_Throughput per Sink,Стоп_Команди створення_Response Time per Sink,Стоп_Команди створення_Throughput per Sink,Стоп_Процеси досягнення узгодженості_Response Time per Sink,Стоп_Процеси досягнення узгодженості_Throughput per Sink,Сховище подій_Throughput,Сховище подій_Utilization
M7a_gp3_Classical_CQRS,0,250.110700,0.112384,350.689840,0.191657,598.803630,0.569451,0.002869,100.932829,0.005438,149.556235,0.004809,100.584310,0.004062,250.146634,248.521251,0.355603
M7a_gp3_mCQRS,0,252.309987,0.141705,347.873484,0.194237,601.447743,0.948801,0.027954,99.429536,0.031372,149.269112,0.029429,100.976685,0.028424,251.135726,252.309199,0.055300
M7a_io2_Classical_CQRS,0,250.181339,0.104673,342.466152,0.175515,592.162187,0.518076,0.002256,100.656744,0.004232,151.244737,0.003583,102.045914,0.003090,245.703620,250.181347,0.295161
M7a_io2_mCQRS,0,248.262942,0.143434,351.475250,0.172957,603.077610,0.802839,0.007550,98.505507,0.009146,149.966800,0.008826,99.724946,0.008357,248.923581,245.806748,0.054854
M7g_gp3_Classical_CQRS,0,252.881394,0.129365,353.892283,0.274184,608.990149,0.727346,0.005773,99.805046,0.009050,153.277051,0.007955,99.567653,0.007322,250.678546,253.199436,0.418682
M7g_gp3_mCQRS,0,213.979462,0.161860,297.429583,0.233147,513.607312,1.000000,149.774395,85.153683,98.385434,128.856172,150.444974,84.859415,59.796912,212.114600,214.152312,0.066430
M7g_io2_Classical_CQRS,0,249.064502,0.108746,351.717559,0.222334,606.379201,0.621553,0.003541,102.090080,0.005346,150.544093,0.004278,99.028637,0.004441,248.774309,249.156841,0.266272
M7g_io2_mCQRS,0,252.226030,0.175835,350.023789,0.228752,600.918343,0.886498,0.012346,99.804683,0.014455,148.298111,0.013748,99.538459,0.013369,251.009444,252.270135,0.075188
M7i_gp3_Classical_CQRS,0,247.654017,0.117459,354.059928,0.233983,607.601362,0.653485,0.003987,99.202096,0.006929,152.095932,0.006005,99.885757,0.005210,253.185358,247.747196,0.389592
M7i_gp3_mCQRS,0,244.153760,0.159111,352.188308,0.229359,588.571572,1.000000,14.803211,99.140962,10.156964,147.279167,14.792914,97.522023,6.084482,247.791255,244.150606,0.062547
M7i_io2_Classical_CQRS,0,251.803748,0.100455,357.906462,0.210717,604.199306,0.619540,0.003371,99.700741,0.005352,151.831195,0.004401,101.327558,0.004401,254.387410,251.808819,0.282830
M7i_io2_mCQRS,0,248.649251,0.154339,349.001643,0.205170,602.946945,0.851346,0.009865,98.592871,0.011329,143.052397,0.010976,100.501726,0.010753,249.872494,248.610640,0.061924
